2020-05-15 09:52:21.697 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 09:52:22.042 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/lizhengyu/nacos/config
2020-05-15 09:52:22.118 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2020-05-15 09:52:22.212 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='null.properties,DEFAULT_GROUP'}]}
2020-05-15 09:52:22.240 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - No active profile set, falling back to default profiles: default
2020-05-15 09:52:23.229 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-15 09:52:23.234 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-15 09:52:23.281 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2020-05-15 09:52:23.700 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=46e7a28f-0c66-313e-a2f4-10703563cb1c
2020-05-15 09:52:24.075 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-15 09:52:25.241 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 09:52:25.251 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-15 09:52:25.777 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-15 09:52:26.222 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-05-15 09:52:26.248 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 09:52:26.249 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2020-05-15 09:52:26.254 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 09:52:26.772 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - Started CloudMessagemachineApplicationTests in 6.527 seconds (JVM running for 8.735)
2020-05-15 09:52:26.779 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-localhost_8848] [subscribe] null.properties+DEFAULT_GROUP
2020-05-15 09:52:26.780 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=null.properties, group=DEFAULT_GROUP, cnt=1
2020-05-15 09:52:27.365 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-05-15 09:52:27.367 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
